artist,title,price,imageUrl
Van Halen,1984,35.99,/assets/covers/80s-rock/van-halen-1984.jpg
Scorpions,Blackout,32.99,/assets/covers/80s-rock/scorpions-blackout.jpg
Whitesnake,Whitesnake,30.99,/assets/covers/80s-rock/whitesnake-whitesnake.jpg
ZZ Top,Eliminator,33.99,/assets/covers/80s-rock/zz-top-eliminator.jpg
The Police,Synchronicity,34.99,/assets/covers/80s-rock/the-police-synchronicity.jpg
Europe,The Final Countdown,31.99,/assets/covers/80s-rock/europe-the-final-countdown.jpg
Guns N' Roses,Appetite For Destruction,36.99,/assets/covers/80s-rock/guns-n-roses-appetite-for-destruction.jpg
Def Leppard,Pyromania,33.99,/assets/covers/80s-rock/def-leppard-pyromania.jpg
Queen,Hot Space,29.99,/assets/covers/80s-rock/queen-hot-space.jpg
Aerosmith,Pump,31.99,/assets/covers/80s-rock/aerosmith-pump.jpg
Van Halen,5150,32.99,/assets/covers/80s-rock/van-halen-5150.jpg
Scorpions,Love At First Sting,33.99,/assets/covers/80s-rock/scorpions-love-at-first-sting.jpg
Europe,Wings Of Tomorrow,30.99,/assets/covers/80s-rock/europe-wings-of-tomorrow.jpg
Bon Jovi,Slippery When Wet,35.99,/assets/covers/80s-rock/bon-jovi-slippery-when-wet.jpg
Billy Idol,Rebel Yell,31.99,/assets/covers/80s-rock/billy-idol-rebel-yell.jpg
Marillion,Misplaced Childhood,32.99,/assets/covers/80s-rock/marillion-misplaced-childhood.jpg
U2,The Joshua Tree,34.99,/assets/covers/80s-rock/u2-the-joshua-tree.jpg
Queen,A Kind Of Magic,31.99,/assets/covers/80s-rock/queen-a-kind-of-magic.jpg
Talking Heads,Speaking In Tongues,29.99,/assets/covers/80s-rock/talking-heads-speaking-in-tongues.jpg
Dire Straits,Brothers In Arms,34.99,/assets/covers/80s-rock/dire-straits-brothers-in-arms.jpg
