artist,title,price,imageUrl
Pink Floyd,Animals,36.99,/assets/covers/classic-rock/pink-floyd-animals.jpg
Black Sabbath,Vol. 4,31.99,/assets/covers/classic-rock/black-sabbath-vol4.jpg
The Beatles,Abbey Road,38.99,/assets/covers/classic-rock/beatles-abbey-road.jpg
Led Zeppelin,IV,34.99,/assets/covers/classic-rock/led-zeppelin-iv.jpg
King Crimson,In the Court of the Crimson King,39.99,/assets/covers/classic-rock/king-crimson-in-the-court.jpg
AC/DC,Let There Be Rock,29.99,/assets/covers/classic-rock/acdc-let-there-be-rock.jpg
Thin Lizzy,Jailbreak,32.99,/assets/covers/classic-rock/thin-lizzy-jailbreak.jpg
Budgie,Squawk,29.99,/assets/covers/classic-rock/budgie-squawk.jpg
Deep Purple,Machine Head,33.99,/assets/covers/classic-rock/deep-purple-machine-head.jpg
Motörhead,1916,31.99,/assets/covers/classic-rock/motorhead-1916.jpg
Dire Straits,Making Movies,33.99,/assets/covers/classic-rock/dire-straits-making-movies.jpg
Rolling Stones,Sticky Fingers,35.99,/assets/covers/classic-rock/rolling-stones-sticky-fingers.jpg
Cream,Disraeli Gears,32.99,/assets/covers/classic-rock/cream-disraeli-gears.jpg
Led Zeppelin,Physical Graffiti,36.99,/assets/covers/classic-rock/led-zeppelin-physical-graffiti.jpg
Pink Floyd,The Dark Side Of The Moon,38.99,/assets/covers/classic-rock/pink-floyd-the-dark-side-of-the-moon.jpg
Jethro Tull,Aqualung,33.99,/assets/covers/classic-rock/jethro-tull-aqualung.jpg
Mountain,Climbing!,29.99,/assets/covers/classic-rock/mountain-climbing.jpg
Black Sabbath,Master Of Reality,31.99,/assets/covers/classic-rock/black-sabbath-master-of-reality.jpg
Budgie,Bandolier,28.99,/assets/covers/classic-rock/budgie-bandolier.jpg
The Who,Who's Next,34.99,/assets/covers/classic-rock/the-who-whos-next.jpg
