artist,title,price,imageUrl
Black Sabbath,Heaven And Hell,34.99,/assets/covers/heavy-metal/black-sabbath-heaven-and-hell.jpg
Iron Maiden,Iron Maiden,32.99,/assets/covers/heavy-metal/iron-maiden-iron-maiden.jpg
Metallica,Master Of Puppets,36.99,/assets/covers/heavy-metal/metallica-master-of-puppets.jpg
Pantera,Cowboys From Hell,33.99,/assets/covers/heavy-metal/pantera-cowboys-from-hell.jpg
Megadeth,Rust In Peace,34.99,/assets/covers/heavy-metal/megadeth-rust-in-peace.jpg
Dio,Holy Diver,31.99,/assets/covers/heavy-metal/dio-holy-diver.jpg
Type O Negative,Bloody Kisses,29.99,/assets/covers/heavy-metal/type-o-negative-bloody-kisses.jpg
Slayer,Reign In Blood,30.99,/assets/covers/heavy-metal/slayer-reign-in-blood.jpg
Judas Priest,British Steel,32.99,/assets/covers/heavy-metal/judas-priest-british-steel.jpg
Bleak House,Rainbow Warrior,28.99,/assets/covers/heavy-metal/bleak-house-rainbow-warrior.jpg
Iron Maiden,Killers,31.99,/assets/covers/heavy-metal/iron-maiden-killers.jpg
Black Sabbath,Sabbath Bloody Sabbath,33.99,/assets/covers/heavy-metal/black-sabbath-sabbath-bloody-sabbath.jpg
Metallica,Kill 'Em All,34.99,/assets/covers/heavy-metal/metallica-kill-em-all.jpg
King Diamond,Them,29.99,/assets/covers/heavy-metal/king-diamond-them.jpg
Sepultura,Roots,31.99,/assets/covers/heavy-metal/sepultura-roots.jpg
Judas Priest,Killing Machine,30.99,/assets/covers/heavy-metal/judas-priest-killing-machine.jpg
Slayer,Show No Mercy,29.99,/assets/covers/heavy-metal/slayer-show-no-mercy.jpg
Pantera,Vulgar Display Of Power,35.99,/assets/covers/heavy-metal/pantera-vulgar-display-of-power.jpg
Megadeth,Peace Sells... But Who's Buying?,35.99,/assets/covers/heavy-metal/megadeth-peace-sells.jpg
Anthrax,Persistence Of Time,32.99,/assets/covers/heavy-metal/anthrax-persistence-of-time.jpg
